layer,table,column,type,units,nullable,is_key,allowed_values,source_field,description
gold,sector_analysis,avg_sector1_ms,double,ms,yes,no,,aggregated,Mean sector 1
gold,sector_analysis,avg_sector2_ms,double,ms,yes,no,,aggregated,Mean sector 2
gold,sector_analysis,avg_sector3_ms,double,ms,yes,no,,aggregated,Mean sector 3
gold,dim_drivers,driver_id,string,,no,PK,,silver,Upper-cased 3-letter
gold,dim_drivers,full_name,string,,yes,no,,silver,Latest full name
gold,dim_drivers,team,string,,yes,no,,silver,Most recent team
gold,dim_drivers,nationality,string,,yes,no,,silver,Most recent country
gold,dim_drivers,_updated_at,timestamp,utc,no,no,,assigned,Refresh time
gold,dim_circuits,circuit_id,string,,no,PK,,fastf1_schedule,Slug from Location
gold,dim_circuits,circuit_name,string,,yes,no,,fastf1_schedule,OfficialEventName
gold,dim_circuits,country,string,,yes,no,,fastf1_schedule,Country
gold,dim_circuits,locality,string,,yes,no,,fastf1_schedule,Location
gold,dim_circuits,_updated_at,string,iso8601_utc,no,no,,assigned,Refresh time
gold,dim_races,race_key,string,,no,PK,,fastf1_schedule,year_round
gold,dim_races,race_year,int,,no,no,,fastf1_schedule,Season year
gold,dim_races,race_round,int,,no,no,,fastf1_schedule,Round number
gold,dim_races,race_name,string,,yes,no,,fastf1_schedule,EventName
gold,dim_races,circuit_id,string,,yes,FK,,fastf1_schedule,FK to dim_circuits
gold,dim_races,race_date,string,iso_date,yes,no,,fastf1_schedule,EventDate
gold,fact_race_results,record_id,string,,no,no,,silver,Carried
gold,fact_race_results,race_year,int,,no,no,,silver,Season year
gold,fact_race_results,race_round,int,,no,no,,silver,Round number
gold,fact_race_results,session,string,,no,no,,silver,Session code
gold,fact_race_results,race_key,string,,no,FK,,computed,FK to dim_races
gold,fact_race_results,driver_id,string,,no,FK,,silver,FK to dim_drivers
gold,fact_race_results,full_name,string,,yes,no,,silver,Denormalized
gold,fact_race_results,team,string,,yes,no,,silver,Denormalized
gold,fact_race_results,position,int,,yes,no,,silver,Classified position
gold,fact_race_results,grid_position,int,,yes,no,,silver,Starting grid slot
gold,fact_race_results,points,double,points,yes,no,,silver,Championship points
gold,fact_race_results,status,string,,yes,no,,silver,Result status
gold,fact_pit_stops,record_id,string,,no,no,,silver,Carried
gold,fact_pit_stops,race_year,int,,no,no,,silver,Season year
gold,fact_pit_stops,race_round,int,,no,no,,silver,Round number
gold,fact_pit_stops,session,string,,no,no,,silver,Session code
gold,fact_pit_stops,race_key,string,,no,FK,,computed,FK to dim_races
gold,fact_pit_stops,driver_id,string,,no,FK,,silver,FK to dim_drivers
gold,fact_pit_stops,lap_number,int,laps,no,no,,silver,Lap of the stop
gold,fact_pit_stops,pit_in_ms,bigint,ms_since_session_start,no,no,,silver,Pit-in time
gold,fact_pit_stops,pit_out_ms,bigint,ms_since_session_start,yes,no,,silver,Pit-out time
gold,fact_pit_stops,tire_compound_before,string,,yes,no,"SOFT,MEDIUM,HARD,INTERMEDIATE,WET,UNKNOWN",silver,Compound before stop
gold,fact_weather_snapshots,record_id,string,,no,no,,silver,Carried
gold,fact_weather_snapshots,race_year,int,,no,no,,silver,Season year
gold,fact_weather_snapshots,race_round,int,,no,no,,silver,Round number
gold,fact_weather_snapshots,session,string,,no,no,,silver,Session code
gold,fact_weather_snapshots,race_key,string,,no,FK,,computed,FK to dim_races
gold,fact_weather_snapshots,snapshot_index,int,,no,no,,silver,Zero-based ordinal
gold,fact_weather_snapshots,time_offset_ms,bigint,ms_since_session_start,yes,no,,silver,Snapshot offset
gold,fact_weather_snapshots,air_temp_c,double,celsius,yes,no,,silver,Air temp
gold,fact_weather_snapshots,track_temp_c,double,celsius,yes,no,,silver,Track temp
gold,fact_weather_snapshots,humidity_pct,double,percent,yes,no,,silver,Humidity
gold,fact_weather_snapshots,pressure_mbar,double,mbar,yes,no,,silver,Pressure
gold,fact_weather_snapshots,wind_speed_ms,double,m_per_s,yes,no,,silver,Wind speed
gold,fact_weather_snapshots,is_raining,bool,,yes,no,,silver,Rain flag
